EZA,20141023,0.115,0.115,0.115,0.115,80000
EZL,20141023,1.155,1.16,1.155,1.155,26476
FAR,20141023,0.11,0.11,0.105,0.105,8896481
FBU,20141023,7.75,7.75,7.605,7.63,1203045
FDC,20141023,2.64,2.685,2.635,2.67,4705358
FET,20141023,1.9,1.905,1.88,1.88,105470
FFG,20141023,0.195,0.195,0.195,0.195,300000
FGX,20141023,1.025,1.035,1.02,1.025,366717
FLK,20141023,0.225,0.225,0.225,0.225,55444
FLN,20141023,0.675,0.715,0.675,0.68,32042
FLT,20141023,42.5,42.79,41.92,42,434846
FMG,20141023,3.55,3.62,3.51,3.53,17979227
FML,20141023,0.011,0.011,0.011,0.011,2259099
FMS,20141023,0.02,0.02,0.02,0.02,665020
FNP,20141023,3.01,3.02,2.85,2.85,70715
FPH,20141023,4.95,4.95,4.85,4.9,585004
FRI,20141023,1.43,1.445,1.42,1.42,17675
FSA,20141023,1.055,1.055,1.02,1.03,40329
FSF,20141023,5.6,5.6,5.44,5.6,9869
FUN,20141023,0.068,0.068,0.065,0.065,275000
FWD,20141023,1.68,1.7,1.66,1.66,105329
FXJ,20141023,0.79,0.795,0.772,0.785,5397846
FXL,20141023,3.5,3.55,3.5,3.53,364245
FZR,20141023,0.255,0.255,0.255,0.255,4000
GAP,20141023,0.255,0.26,0.255,0.26,97211
GBG,20141023,0.033,0.033,0.032,0.032,668274
GBI,20141023,0.27,0.28,0.27,0.28,17500
GBT,20141023,3.83,3.83,3.72,3.83,35135
GCS,20141023,0.46,0.46,0.45,0.45,44000
GDI,20141023,0.865,0.875,0.865,0.87,374468
GDY,20141023,0.04,0.04,0.038,0.04,255738
GFF,20141023,0.625,0.63,0.62,0.63,3885007
GGG,20141023,0.075,0.08,0.075,0.08,537082
GHC,20141023,1.425,1.445,1.425,1.445,63077
GID,20141023,0.28,0.305,0.28,0.3,248344
GJT,20141023,1.61,1.61,1.6,1.6,9386
GMA,20141023,3.58,3.69,3.55,3.55,1055017
GMG,20141023,5.44,5.5,5.41,5.45,3972242
GNC,20141023,8.54,8.64,8.51,8.62,356551
GNE,20141023,1.83,1.84,1.775,1.82,223431
GOLD,20141023,135.6,136.06,135.38,136.06,2629
GOR,20141023,0.275,0.287,0.275,0.285,249400
GOZ,20141023,2.73,2.75,2.71,2.74,373666
GPT,20141023,3.95,4.025,3.95,3.99,4939017
GRR,20141023,0.125,0.13,0.125,0.125,688094
GRY,20141023,0.105,0.105,0.1,0.1,451960
GUD,20141023,7.13,7.15,6.91,7.01,242819
GWA,20141023,2.67,2.71,2.65,2.7,536985
GXL,20141023,9.32,9.36,9.17,9.21,195523
GXY,20141023,0.035,0.035,0.033,0.034,1644012
HAV,20141023,0.15,0.15,0.14,0.15,163333
HAZ,20141023,0.032,0.032,0.032,0.032,6250
HCH,20141023,0.215,0.22,0.215,0.22,254234
HFA,20141023,1.48,1.49,1.445,1.46,64730
HFR,20141023,0.635,0.635,0.635,0.635,998
HGG,20141023,3.61,3.65,3.59,3.61,5150662
HGO,20141023,0.585,0.585,0.57,0.57,76950
HHL,20141023,1.76,1.76,1.735,1.735,20363
HHV,20141023,1.105,1.12,1.09,1.1,254745
HIG,20141023,0.05,0.05,0.05,0.05,80000
HIL,20141023,1.32,1.33,1.29,1.33,72957
HJB,20141023,0.022,0.022,0.021,0.021,1250000
HPI,20141023,2.35,2.35,2.31,2.32,132644
HSN,20141023,1.505,1.53,1.5,1.53,27079
HSO,20141023,2.4,2.42,2.4,2.42,4341875
HUB,20141023,0.935,0.94,0.935,0.94,44757
HVN,20141023,3.46,3.51,3.46,3.47,2140761
HZN,20141023,0.28,0.285,0.27,0.285,1169206
IAA,20141023,53.1,53.21,52.92,53.14,3975
IAF,20141023,104.09,104.1,103.93,103.93,5922
IAG,20141023,6.07,6.11,6.04,6.08,7677354
IAU,20141023,0.25,0.25,0.24,0.24,698554
IBG,20141023,0.094,0.095,0.093,0.093,333560
IBK,20141023,41.7,41.89,41.7,41.89,1009
IBY,20141023,0.2,0.2,0.19,0.2,425297
ICG,20141023,0.018,0.019,0.017,0.017,855965
ICN,20141023,0.145,0.145,0.14,0.14,127000
ICQ,20141023,1.245,1.28,1.225,1.225,129900
ICU,20141023,0.25,0.25,0.23,0.235,330375
IDC,20141023,0.016,0.021,0.016,0.019,18478619
IDR,20141023,1.985,2,1.98,1.99,253672
IEM,20141023,46.91,46.91,46.45,46.45,8959
IEU,20141023,49.02,49.02,48.6,48.6,31242
IFL,20141023,8.74,8.78,8.72,8.77,643914
IFM,20141023,1.16,1.17,1.145,1.17,631936
IFN,20141023,0.25,0.265,0.25,0.26,293631
IGO,20141023,4.44,4.46,4.39,4.43,738106
IHD,20141023,15.02,15.03,14.93,14.93,17611
IIN,20141023,7.97,7.98,7.87,7.92,239954
IJH,20141023,154.6,154.83,154.6,154.83,423
IJP,20141023,12.71,12.79,12.7,12.74,24976
ILB,20141023,109.39,109.46,109.39,109.39,702
ILC,20141023,24.5,24.53,24.4,24.52,14196
ILU,20141023,7.61,7.62,7.46,7.56,1370503
IMF,20141023,1.995,2.03,1.995,2.03,292889
INA,20141023,0.435,0.44,0.432,0.435,852769
IOF,20141023,3.4,3.45,3.39,3.45,1156752
IOO,20141023,85.03,85.4,85,85.18,13127
IOZ,20141023,23.22,23.25,23.09,23.19,73335
IPB,20141023,0.345,0.36,0.345,0.35,75000
IPD,20141023,0.44,0.46,0.44,0.46,100869
IPE,20141023,0.33,0.34,0.33,0.34,270792
